id	name	slug	difficulty	equipment	main_muscle
3954	اسپلیت اسکات بلغاری		متوسط	دمبل، نیمکت	quads
3999	استپ آپ		مبتدی	دمبل، نیمکت	quads
3986	اسکات اسمیت		مبتدی	ماشین / دستگاه	quads
4016	اسکات با مکث		پیشرفته	هالتر	quads
4107	اسکات بلغاری هالتر		متوسط	هالتر	quads
4109	اسکات تک پا باکس		پیشرفته	نیمکت	quads
4106	اسکات جعبه		متوسط	هالتر، نیمکت	quads
3966	اسکات فرانت		پیشرفته	هالتر	quads
4108	اسکات کوزاک		متوسط	بدون تجهیزات / وزن بدن	quads
3946	اسکات گابلت		مبتدی	دمبل، کتل‌بل	quads
3847	اسکات هالتر		متوسط	هالتر	quads
4124	اسکوات پرش		متوسط	بدون تجهیزات / وزن بدن	quads
4044	اسکیپ طناب		مبتدی	بدون تجهیزات / وزن بدن	calves
3949	اکستنشن پا		مبتدی	بدون تجهیزات / وزن بدن	hamstrings
3939	بارفیکس		متوسط	بدون تجهیزات / وزن بدن	back_lat
4090	بارفیکس آرچر		پیشرفته	بدون تجهیزات / وزن بدن	back_lat
4097	بارفیکس استرالیایی		مبتدی	بدون تجهیزات / وزن بدن	back_lat
4089	بارفیکس دست باز		متوسط	بدون تجهیزات / وزن بدن	back_lat
3991	بارفیکس کمکی		مبتدی	ماشین / دستگاه	back_lat
4017	بورپی		متوسط	بدون تجهیزات / وزن بدن	full_body
3959	پاروی صورت		مبتدی	بدون تجهیزات / وزن بدن	shoulder_posterior
4019	پالوف پرس		متوسط	کابل / سیم‌کش	abs
3933	پای آویزان		متوسط	بدون تجهیزات / وزن بدن	back_lat
4028	پای دراز خوابیده		مبتدی	بدون تجهیزات / وزن بدن	abs
3995	پرس آرنولد		متوسط	دمبل	shoulder_anterior
4125	پرس پا پا باز		مبتدی	بدون تجهیزات / وزن بدن	quads
3887	پرس پا دستگاه		مبتدی	بدون تجهیزات / وزن بدن	quads
4061	پرس پشت سر		پیشرفته	هالتر	back_lat
4052	پرس پین		پیشرفته	هالتر، نیمکت	back_lat
3994	پرس زمین هالتر		متوسط	هالتر	triceps
4001	پرس ساق		مبتدی	ماشین / دستگاه	quads
4053	پرس سرشانه اسمیت		مبتدی	بدون تجهیزات / وزن بدن	shoulders
3947	پرس سرشانه با دمبل		متوسط	دمبل، نیمکت	triceps
3938	پرس سرشانه با هالتر		متوسط	هالتر	triceps
4059	پرس سرشانه تک بازو		متوسط	دمبل	shoulders
3831	پرس سرشانه دستگاه		مبتدی	بدون تجهیزات / وزن بدن	triceps
4054	پرس سرشانه نشسته		متوسط	دمبل، نیمکت	shoulders
4050	پرس سوندر		مبتدی	دمبل	chest
4007	پرس سینه اسمیت		مبتدی	ماشین / دستگاه، نیمکت	chest
3924	پرس سینه با دمبل		متوسط	دمبل، نیمکت	triceps
3937	پرس سینه با هالتر		متوسط	هالتر، نیمکت	triceps
3985	پرس سینه دست جمع		متوسط	هالتر، نیمکت	triceps
3832	پرس سینه دستگاه		مبتدی	بدون تجهیزات / وزن بدن	triceps
4020	پرس سینه دمبل تک دست		متوسط	دمبل، نیمکت	chest
4046	پرس سینه دمبل شیب		متوسط	دمبل، نیمکت	chest
3944	پرس سینه شیب دار		متوسط	هالتر	triceps
3987	پرس سینه شیب منفی		متوسط	هالتر، نیمکت	triceps
4065	پرس سینه کابل تک بازو		متوسط	بدون تجهیزات / وزن بدن	chest
3960	پرس سینه مایل دمبل		متوسط	دمبل	triceps
4058	پرس لندماین		متوسط	هالتر	back_lat
4034	پرش پرنده		مبتدی	بدون تجهیزات / وزن بدن	full_body
4036	پرش جعبه		متوسط	نیمکت	quads
3973	پشت بازو بالای سر سیمکش		مبتدی	بدون تجهیزات / وزن بدن	triceps
4085	پشت بازو بند کشی		مبتدی	بدون تجهیزات / وزن بدن	triceps
3930	پشت بازو پشت سر		متوسط	هالتر، نیمکت	triceps
4073	پشت بازو پشت سر دمبل		مبتدی	دمبل	triceps
3983	پشت بازو پشت سر سیمکش		مبتدی	بدون تجهیزات / وزن بدن	triceps
4082	پشت بازو تک بازو دمبل		مبتدی	دمبل	triceps
4079	پشت بازو تک بازو سیمکش		مبتدی	بدون تجهیزات / وزن بدن	triceps
4010	پشت بازو خرچنگ سیمکش		مبتدی	کابل / سیم‌کش	triceps
4075	پشت بازو دستگاه		مبتدی	بدون تجهیزات / وزن بدن	triceps
3932	پشت بازو دمبل		مبتدی	دمبل	triceps
3982	پشت بازو دمبل خوابیده		متوسط	دمبل، نیمکت	triceps
4074	پشت بازو دیپ وزنه		متوسط	نیمکت	triceps
3853	پشت بازو سیم کش		مبتدی	بدون تجهیزات / وزن بدن	triceps
4024	پشت بازو سیمکش معکوس		مبتدی	کابل / سیم‌کش	triceps
3963	پشت بازو کیک بک		مبتدی	دمبل، نیمکت	triceps
4083	پشت بازو لازر		متوسط	بدون تجهیزات / وزن بدن	triceps
4072	پشت بازو نشسته دمبل		متوسط	دمبل، نیمکت	triceps
3955	پشت پا ایستاده		مبتدی	بدون تجهیزات / وزن بدن	hamstrings
4113	پشت پا خوابیده		مبتدی	بدون تجهیزات / وزن بدن	hamstrings
3842	پشت پا دستگاه		مبتدی	بدون تجهیزات / وزن بدن	hamstrings
4114	پشت پا نشسته دستگاه		مبتدی	بدون تجهیزات / وزن بدن	hamstrings
4104	پشت کمر دستگاه		مبتدی	بدون تجهیزات / وزن بدن	lower_back
3906	پلانک		مبتدی	بدون تجهیزات / وزن بدن	abs
3958	پلانک جانبی		مبتدی	بدون تجهیزات / وزن بدن	abs
4027	پلانک خرس		مبتدی	بدون تجهیزات / وزن بدن	abs
4026	پلانک شانه لمس		متوسط	بدون تجهیزات / وزن بدن	abs
3967	پل باسن		مبتدی	بدون تجهیزات / وزن بدن	back_lat
4116	پل باسن تک پا		مبتدی	بدون تجهیزات / وزن بدن	glutes
4040	پوش پرس		متوسط	هالتر	back_lat
3961	پول اور		متوسط	دمبل، نیمکت	chest
4094	پول اور دمبل		متوسط	دمبل، نیمکت	chest
4041	تراستر		پیشرفته	هالتر	back_lat
4043	توپ پزشکی ضربه		متوسط	بدون تجهیزات / وزن بدن	abs
4080	جلو بازو ۲۱		متوسط	هالتر	back_lat
4070	جلو بازو اسپایدر		متوسط	دمبل، نیمکت	biceps
4009	جلو بازو اینکلاین دمبل		متوسط	دمبل، نیمکت	biceps
4068	جلو بازو بار EZ		مبتدی	هالتر	back_lat
4081	جلو بازو بار نشسته		مبتدی	هالتر، نیمکت	back_lat
4066	جلو بازو پریچر		مبتدی	هالتر، نیمکت	back_lat
4069	جلو بازو تمرکزی		مبتدی	دمبل	biceps
4071	جلو بازو چکش کابل		مبتدی	بدون تجهیزات / وزن بدن	biceps
3953	جلو بازو چکشی		مبتدی	دمبل	biceps
3927	جلو بازو دمبل		مبتدی	دمبل	biceps
3849	جلوبازو دمبل نشسته		مبتدی	دمبل، نیمکت	biceps
3962	جلو بازو سیمکش		مبتدی	بدون تجهیزات / وزن بدن	biceps
4067	جلو بازو کابل		مبتدی	بدون تجهیزات / وزن بدن	biceps
4084	جلو بازو کابل چکشی		مبتدی	بدون تجهیزات / وزن بدن	biceps
3945	جلو بازو هالتر		مبتدی	هالتر	back_lat
3968	جمع زانو آویزان		متوسط	بدون تجهیزات / وزن بدن	back_lat
3984	جمع زانو پلانک		متوسط	بدون تجهیزات / وزن بدن	abs
3980	چرخش روسی		مبتدی	بدون تجهیزات / وزن بدن	obliques
4031	چرخش روسی سیمکش		متوسط	بدون تجهیزات / وزن بدن	abs
4003	چرخ شکم		متوسط	بدون تجهیزات / وزن بدن	abs
3992	چین آپ		متوسط	بدون تجهیزات / وزن بدن	biceps
4032	خم جانبی دمبل		مبتدی	دمبل	obliques
4103	خیز بالا پرچم		مبتدی	بدون تجهیزات / وزن بدن	abs
4018	ددباگ		مبتدی	بدون تجهیزات / وزن بدن	abs
3941	ددلیفت		پیشرفته	هالتر	back_lat
4121	ددلیفت بلوک		پیشرفته	هالتر	back_lat
4120	ددلیفت تراپ بار		متوسط	هالتر	back_lat
4122	ددلیفت رک		پیشرفته	هالتر	back_lat
3857	ددلیفت رومانیایی		متوسط	هالتر	hamstrings
4123	ددلیفت رومانیایی تک پا		متوسط	دمبل	hamstrings
4101	ددلیفت قاپ باز		پیشرفته	هالتر	back_lat
3957	دراز و نشست		مبتدی	بدون تجهیزات / وزن بدن	abs
3976	دیپ بین نیمکت		مبتدی	نیمکت	triceps
3908	دیپ پارالل		متوسط	پارالل	triceps
4015	دیپ وزن بدن		متوسط	بدون تجهیزات / وزن بدن، نیمکت	triceps
3977	رومانیایی دمبل		متوسط	دمبل	hamstrings
4100	رومانیایی هالتر		متوسط	هالتر	back_lat
3993	رویینگ پندلی		متوسط	هالتر	back_lat
3935	رویینگ سیمکش		مبتدی	بدون تجهیزات / وزن بدن	full_body
4098	رویینگ کابل ایستاده		مبتدی	بدون تجهیزات / وزن بدن	full_body
4092	رویینگ معکوس		مبتدی	بدون تجهیزات / وزن بدن	full_body
3951	رویینگ هالتر		متوسط	هالتر	back_lat
4091	رویینگ هالتر معکوس		متوسط	هالتر	back_lat
4096	زیربغل پشت گردن		پیشرفته	بدون تجهیزات / وزن بدن	back_lat
4013	زیربغل تک بازو سیمکش		متوسط	کابل / سیم‌کش	back_lat
3990	زیربغل تی بار		متوسط	هالتر، ماشین / دستگاه	back_lat
3969	زیربغل دست جمع		مبتدی	بدون تجهیزات / وزن بدن	back_lat
4088	زیربغل دست صاف		مبتدی	بدون تجهیزات / وزن بدن	back_lat
3948	زیربغل سیمکش		مبتدی	بدون تجهیزات / وزن بدن	back_lat
3844	زیربغل سیم کش دست باز		مبتدی	بدون تجهیزات / وزن بدن	back_lat
4087	زیربغل سینه روی نیمکت		مبتدی	دمبل، نیمکت	full_body
4086	زیربغل مدوز		متوسط	هالتر	back_lat
4021	زیربغل نشسته سیمکش		مبتدی	کابل / سیم‌کش	back_lat
3855	زیربغل هالتر خمیده		متوسط	هالتر	back_lat
4095	زیربغل وی بار		مبتدی	بدون تجهیزات / وزن بدن	back_lat
3970	زیربغل یک دست دمبل		مبتدی	دمبل، نیمکت	full_body
4077	ساعد دمبل		مبتدی	دمبل	forearms
4078	ساعد معکوس		مبتدی	هالتر	back_lat
4076	ساعد هالتر		مبتدی	هالتر	back_lat
3956	ساق ایستاده		مبتدی	بدون تجهیزات / وزن بدن	back_lat
4119	ساق دونکی		متوسط	بدون تجهیزات / وزن بدن	calves
4000	ساق نشسته		مبتدی	ماشین / دستگاه	calves
4005	سوپرمن		مبتدی	بدون تجهیزات / وزن بدن	lower_back
3978	سومو ددلیفت		پیشرفته	هالتر	back_lat
4102	شراگ اسمیت		مبتدی	بدون تجهیزات / وزن بدن	full_body
3972	شراگ دمبل		مبتدی	دمبل	full_body
3936	شنا الماسی		متوسط	بدون تجهیزات / وزن بدن	triceps
4006	شنا با زانو		مبتدی	بدون تجهیزات / وزن بدن	chest
4099	شنا حلقه		متوسط	بدون تجهیزات / وزن بدن	full_body
4063	شنا دیواری		پیشرفته	بدون تجهیزات / وزن بدن	shoulder_anterior
3940	شنا سوئدی		مبتدی	بدون تجهیزات / وزن بدن	triceps
3975	شنا شیب منفی		متوسط	نیمکت	chest_upper
4051	شنا کلاپ		پیشرفته	بدون تجهیزات / وزن بدن	chest
4035	طناب نبرد		متوسط	بدون تجهیزات / وزن بدن	full_body
3979	فارمر واک		مبتدی	دمبل، کتل‌بل	full_body
4045	فارمر واک سنگین		متوسط	دمبل	full_body
4011	فشار پشت بازو هالتر		متوسط	هالتر، نیمکت	triceps
4048	فلای اینکلاین دمبل		متوسط	دمبل، نیمکت	chest
4049	فلای اینکلاین سیمکش		متوسط	نیمکت	chest
4014	فلای پک دستگاه		مبتدی	ماشین / دستگاه	chest
3942	فلای دمبل		متوسط	دمبل، نیمکت	chest
4047	فلای زمین دمبل		مبتدی	دمبل	chest
3988	فلای سیمکش		مبتدی	کابل / سیم‌کش	chest
4062	فلای معکوس اینکلاین		مبتدی	دمبل، نیمکت	shoulder_posterior
3989	فلای معکوس سیمکش		مبتدی	کابل / سیم‌کش	shoulder_posterior
4039	کتل سوینگ آمریکایی		متوسط	کتل‌بل	glutes
4038	کتل قاپ		پیشرفته	کتل‌بل	full_body
4037	کتل کلین		متوسط	کتل‌بل	full_body
3934	کتله بل سوینگ		متوسط	کتل‌بل	glutes
3974	کراس باز سیمکش		مبتدی	بدون تجهیزات / وزن بدن	shoulder_posterior
3943	کراس سیمکش		مبتدی	بدون تجهیزات / وزن بدن	chest
3928	کرانچ		مبتدی	بدون تجهیزات / وزن بدن	abs
4004	کرانچ دوچرخه		مبتدی	بدون تجهیزات / وزن بدن	abs
4012	کرانچ سیمکش		مبتدی	کابل / سیم‌کش	abs
4042	کلین و پرس		پیشرفته	هالتر	back_lat
4105	کول دمبل		مبتدی	دمبل	full_body
3931	کول هالتر		مبتدی	هالتر	back_lat
3981	کوهنورد		مبتدی	بدون تجهیزات / وزن بدن	abs
3998	کیک بک باسن سیمکش		مبتدی	کابل / سیم‌کش	glutes
4002	گود مورنینگ		پیشرفته	هالتر	back_lat
3929	لانج		مبتدی	بدون تجهیزات / وزن بدن	quads
4118	لانج اسکی		متوسط	دمبل	quads
4022	لانج با هالتر		متوسط	هالتر	quads
4117	لانج جانبی		مبتدی	دمبل	quads
3964	لانج راه رفتن		مبتدی	دمبل	quads
4023	لانج عقب		مبتدی	دمبل	quads
4008	لگ پرس		مبتدی	ماشین / دستگاه	quads
4111	لگ پرس تک پا		متوسط	بدون تجهیزات / وزن بدن	quads
4110	لندماین اسکات		مبتدی	هالتر	quads
4093	لندماین رویینگ		متوسط	هالتر	back_lat
3971	نشر از جلو		مبتدی	دمبل	back_lat
3997	نشر پشت با دمبل		مبتدی	دمبل	shoulder_posterior
4057	نشر پشت سیمکش		مبتدی	بدون تجهیزات / وزن بدن	shoulder_posterior
3996	نشر جانب با هالتر		متوسط	هالتر	shoulder_lateral
4056	نشر جانب خم		متوسط	دمبل	shoulder_lateral
3851	نشر جانب دمبل		مبتدی	دمبل	shoulder_lateral
3952	نشر جانب سیمکش		مبتدی	بدون تجهیزات / وزن بدن	shoulder_lateral
4060	نشر جانب کج		متوسط	دمبل	shoulder_lateral
4055	نشر جانب نشسته		مبتدی	دمبل، نیمکت	shoulder_lateral
3965	هاک اسکات		متوسط	بدون تجهیزات / وزن بدن	quads
4030	هالو بادی		متوسط	بدون تجهیزات / وزن بدن	abs
3910	هایپراکستنشن		مبتدی	بدون تجهیزات / وزن بدن	lower_back
4112	همسترینگ نوردیک		پیشرفته	نیمکت	hamstrings
4064	هنداستند پوش آپ		پیشرفته	بدون تجهیزات / وزن بدن	shoulder_anterior
3950	هیپ تراست		متوسط	هالتر، نیمکت	back_lat
4115	هیپ تراست هالتر		متوسط	هالتر، نیمکت	back_lat
4033	هیز چopper سیمکش		متوسط	بدون تجهیزات / وزن بدن	obliques
4025	وال سیت		مبتدی	بدون تجهیزات / وزن بدن	quads
4029	وی آپ		متوسط	بدون تجهیزات / وزن بدن	abs
